start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_A09_C,PF_A08_C,7.0,8.0,34.78069356929668,0.0802008668343472,1.033447143905235,2.976315789473684,0.0767872633400936,0.4116666666666662,11.494444444444447,1.3166283111310024,19.36083333333325,2024-01-02 00:03:00
PF_A09_C,PF_A08_C,7.0,8.0,35.108573983610576,0.1185567496540821,2.4101751291601445,2.962962962962963,0.096825295598036,0.4258333333333328,11.454901960784312,1.2317083531507498,20.49666666666664,2024-01-02 00:02:00
PF_A09_C,PF_A08_C,7.0,8.0,34.36358143204407,0.0517092344135439,0.0304208866995097,3.003703703703703,0.0584299716359975,0.4258333333333328,11.797058823529412,1.3179865236314738,22.54999999999996,2024-01-02 00:04:00
PF_A09_C,PF_A08_C,7.0,8.0,34.82295426358559,0.1124921252203794,1.5548453201970176,2.985087719298245,0.0946951188453675,0.4416666666666664,11.554629629629629,1.324195933576659,22.940833333333263,2024-01-02 00:00:00
PF_A09_C,PF_A08_C,7.0,8.0,35.3118968189454,0.134258707328863,3.571446472405434,2.9529411764705884,0.105066436942401,0.4399999999999999,11.978125,1.2001724171798325,26.7625,2024-01-02 00:07:00
,2024-01-02 00:01:00,,,,,,,,,,,,
PF_A09_C,PF_A08_C,7.0,8.0,34.538521974647125,0.047325374512527,0.0405611822660105,2.987254901960784,0.0547908095072215,0.2533333333333334,12.027083333333334,1.3253869946486878,28.57083333333334,2024-01-02 00:12:00
PF_A09_C,PF_A08_C,7.0,8.0,34.538521974647125,0.047325374512527,0.0405611822660105,2.987254901960784,0.0547908095072215,0.2533333333333334,15.270833333333334,1.1637323773536583,42.03333333333333,2024-01-02 00:13:00
PF_A09_C,PF_A08_C,7.0,8.0,34.30919042384499,0.0529330651691334,0.0405611822660105,3.0088235294117647,0.0596634763875518,0.4399999999999999,11.976041666666667,1.3349131066242883,24.89583333333333,2024-01-02 00:05:00
PF_A09_C,PF_A08_C,7.0,8.0,34.58017234113498,0.0461409003004233,0.0304208866995097,2.983333333333333,0.0535161432423852,0.2274999999999996,15.02156862745098,1.2285563361604486,41.256666666666646,2024-01-02 00:16:00
PF_A09_C,PF_A08_C,7.0,8.0,34.584908078585904,0.0475506683375465,0.0405611822660105,2.983333333333333,0.0551631778160098,0.2533333333333334,16.896875,0.7924333964110554,28.0625,2024-01-02 00:20:00
PF_A09_C,PF_A08_C,7.0,8.0,34.58017234113498,0.0461409003004233,0.0304208866995097,2.983333333333333,0.0535161432423852,0.2274999999999996,15.084313725490196,1.2314110205292896,41.93666666666664,2024-01-02 00:17:00
PF_A09_C,PF_A08_C,7.0,8.0,34.58017234113498,0.0461409003004233,0.0304208866995097,2.983333333333333,0.0535161432423852,0.2274999999999996,16.24705882352941,0.8075516666352744,30.55333333333333,2024-01-02 00:19:00
PF_A09_C,PF_A08_C,7.0,8.0,35.30260121951917,0.0973745075124339,2.004658431223937,2.9379629629629624,0.0851220110748635,0.2274999999999996,13.361764705882353,0.9017884662173938,29.86333333333333,2024-01-02 00:22:00
PF_A09_C,PF_A08_C,7.0,8.0,35.53813897905095,0.1253382411240795,1.9318563092080008,2.9289473684210523,0.0967326133362202,0.2016666666666657,16.04259259259259,0.8481317430544476,35.100833333333334,2024-01-02 00:21:00
PF_A09_C,PF_A08_C,7.0,8.0,35.24307316862269,0.0912520450126482,1.84393269380346,2.9407407407407407,0.081996940021441,0.2274999999999996,13.351960784313723,0.9070740884224486,29.826666666666657,2024-01-02 00:23:00
