Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,PF_A13_C,PF_A12_C,3.0,4.0,24.83331887540175,0.2574492536659316,0.0,3.04375,0.5672341872352044,3.174166666666664,10.960606060606064,1.4456453059182617,28.675,2024-10-02 16:37:00,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,24.83331887540175,0.2574492536659316,0.0,3.04375,0.5672341872352044,3.174166666666664,11.016666666666667,1.4361096144933327,28.66666666666667,2024-10-02 16:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-02 16:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,25.084472181483445,0.240295243302351,0.0,2.9759259259259263,0.5469819539514622,2.9299999999999984,11.129166666666668,1.5166943065963816,29.204999999999963,2024-10-02 16:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,27.004039555104164,0.0289547302357937,0.6386371819960814,2.443333333333333,0.0301991045309395,0.1099999999999998,11.54027777777778,1.4568241255325498,29.223333333333294,2024-10-02 16:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,29.50772697050432,0.2310403204612461,12.80352133543959,2.305555555555556,0.1506843150771746,0.0,14.184848484848484,1.2519010748888175,38.05,2024-10-02 16:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,25.30950741405337,0.2337119759802822,0.4197615280725415,2.96,0.5706150211861796,2.933333333333327,17.040277777777778,1.0379546640748805,39.25416666666664,2024-10-02 16:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,27.17849893883851,0.0093603744149765,0.4579216669882306,2.4259259259259256,0.0091603053435114,0.0,14.202777777777778,1.3157617642619697,38.8258333333333,2024-10-02 16:47:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,25.30950741405337,0.2337119759802822,0.4197615280725415,2.96,0.5706150211861796,2.933333333333327,17.093055555555555,1.0350751711885942,39.14416666666664,2024-10-02 16:50:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,26.91741780724219,0.2875976861526437,8.333012943653578,2.83030303030303,0.5861844768280192,2.6666666666666665,16.69102564102564,1.1174253441152304,42.97666666666662,2024-10-02 16:51:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF_A13_C,PF_A12_C,3.0,4.0,27.17849893883851,0.0093603744149765,0.4579216669882306,2.4259259259259256,0.0091603053435114,0.0,14.208333333333334,1.315396855045564,38.84416666666664,2024-10-02 16:48:01,,,,,,,,,,,,,,
