start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_N01_C,PF_N02_C,24,25.0,11.0,27.37704189858027,0.0387983311268773,0.6620589273112181,1.8303030303030303,0.0420884894665104,0.1166666666666664,16.520000000000003,0.5161979818565788,17.10833333333332,2024-02-01 00:00:00
PF_N01_C,PF_N02_C,24,25.0,11.0,27.37704189858027,0.0387983311268773,0.6620589273112181,1.8303030303030303,0.0420884894665104,0.1166666666666664,14.246666666666666,0.5793643394432767,15.27999999999998,2024-02-01 00:01:00
PF_N01_C,PF_N02_C,24,25.0,11.0,27.37704189858027,0.0387983311268773,0.6620589273112181,1.8303030303030303,0.0420884894665104,0.1166666666666664,14.246666666666666,0.5691375571227874,15.204166666666644,2024-02-01 00:02:00
PF_N01_C,PF_N02_C,2,3.0,4.0,38.541951272411794,0.4400214940450143,26.28846840659339,1.4666666666666666,0.3564633441217754,0.3116666666666665,,,,2024-02-01 05:43:00
PF_N01_C,PF_N02_C,2,3.0,4.0,28.875283958604776,0.1491024864014014,7.152543822393813,1.7583333333333335,0.1300801823079866,0.0366666666666666,,,,2024-02-01 05:44:00
PF_N01_C,PF_N02_C,2,3.0,4.0,26.86857272865825,0.015197757230739,0.3297256405756421,1.8625,0.0152825514779412,0.0366666666666666,,,,2024-02-01 05:45:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:46:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:49:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:48:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:51:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:50:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:52:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:53:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:54:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:55:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:56:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:57:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:58:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 05:59:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:01:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:02:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:00:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:04:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:03:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:05:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:06:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:07:00
PF_N01_C,PF_N02_C,2,3.0,3.0,27.046868901368896,0.0090093746137665,0.2212805896805889,1.85,0.009009009009009,0.0149999999999999,,,,2024-02-01 06:08:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:10:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:09:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:11:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:12:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:14:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:13:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:16:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:15:00
PF_N01_C,PF_N02_C,2,3.0,2.0,27.168339066339065,0.0063991563908285,0.1106402948402944,1.8416666666666668,0.0063991563908285,0.0075,,,,2024-02-01 06:17:00
PF_N01_C,PF_N02_C,24,25.0,11.0,27.37704189858027,0.0387983311268773,0.6620589273112181,1.8303030303030303,0.0420884894665104,0.1166666666666664,15.133333333333333,0.7348913545778339,18.866666666666667,2024-02-01 00:04:00
PF_N01_C,PF_N02_C,1,2.0,1.0,27.291272727272723,,0.0,1.8333333333333333,,0.0,,,,2024-02-01 06:18:00
PF_N01_C,PF_N02_C,2,3.0,3.0,26.89308805270056,0.022641475480268,0.6639505242463954,1.861111111111112,0.0225368192097634,0.0299999999999998,,,,2024-02-01 05:40:00
PF_N01_C,PF_N02_C,2,3.0,3.0,29.348351547473328,0.1642358505994932,7.293161960132881,1.7333333333333332,0.150197109152051,0.0299999999999998,,,,2024-02-01 05:41:00
PF_N01_C,PF_N02_C,2,3.0,4.0,35.18001603952541,0.4713275561487579,27.99313773263432,1.6041666666666663,0.3210568929832748,0.0533333333333332,,,,2024-02-01 05:42:00
PF_N01_C,PF_N02_C,24,25.0,1.0,27.541651376146785,,0.0,1.8166666666666669,,0.0,,,,2024-02-01 06:20:00
PF_N01_C,PF_N02_C,24,25.0,12.0,27.390759355044143,0.0370149083776618,0.5958530345800988,1.8291666666666664,0.0402123583236286,0.1049999999999997,15.133333333333336,0.7516545238859099,20.458333333333336,2024-02-01 00:03:00
PF_N01_C,PF_N02_C,2,3.0,3.0,26.89308805270056,0.022641475480268,0.6639505242463954,1.861111111111112,0.0225368192097634,0.0299999999999998,,,,2024-02-01 05:39:00
PF_N01_C,PF_N02_C,2,3.0,4.0,27.055228883562112,0.0219393653654963,0.3688614023591086,1.85,0.0220674751602087,0.0533333333333332,,,,2024-02-01 05:17:00
PF_N01_C,PF_N02_C,2,3.0,4.0,27.055228883562112,0.0219393653654963,0.3688614023591086,1.85,0.0220674751602087,0.0533333333333332,,,,2024-02-01 05:18:00
PF_N01_C,PF_N02_C,2,3.0,4.0,27.055228883562112,0.0219393653654963,0.3688614023591086,1.85,0.0220674751602087,0.0533333333333332,,,,2024-02-01 05:19:00
PF_N01_C,PF_N02_C,2,3.0,4.0,27.055228883562112,0.0219393653654963,0.3688614023591086,1.85,0.0220674751602087,0.0533333333333332,,,,2024-02-01 05:22:00
PF_N01_C,PF_N02_C,2,3.0,4.0,27.055228883562112,0.0219393653654963,0.3688614023591086,1.85,0.0220674751602087,0.0533333333333332,,,,2024-02-01 05:23:00
