start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_K05_C,PF_N01_C,23,24.0,11.0,42.36663049484689,0.016711085878374,0.9422642994921944,6.648484848484849,0.016340828714028,0.1333333333333328,16.52,0.5168169725214397,17.224999999999987,2024-02-01 00:00:00
PF_K05_C,PF_N01_C,23,24.0,11.0,42.86828834795248,0.0420361331755591,3.701382491572957,6.578787878787879,0.038754993327058,0.1333333333333328,14.246666666666664,0.5800471418301628,15.38499999999998,2024-02-01 00:01:00
PF_K05_C,PF_N01_C,23,24.0,11.0,42.91816040062201,0.0455565745192079,3.97567878125534,6.572727272727274,0.0415778309541441,0.1333333333333328,14.246666666666664,0.569940948174694,15.309166666666645,2024-02-01 00:02:00
PF_K05_C,PF_N01_C,1,2.0,3.0,42.04087311061155,0.0399589974554249,1.080489729478337,6.705555555555556,0.0404101023968755,0.3149999999999995,,,,2024-02-01 05:43:00
PF_K05_C,PF_N01_C,1,2.0,3.0,42.04087311061155,0.0399589974554249,1.080489729478337,6.705555555555556,0.0404101023968755,0.3149999999999995,,,,2024-02-01 05:44:00
PF_K05_C,PF_N01_C,1,2.0,3.0,42.04087311061155,0.0399589974554249,1.080489729478337,6.705555555555556,0.0404101023968755,0.3149999999999995,,,,2024-02-01 05:45:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:46:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:49:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:48:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:51:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:50:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:52:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:53:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:54:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:55:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:56:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:57:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:58:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 05:59:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:01:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:02:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:00:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:04:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:03:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:05:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:06:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:07:00
PF_K05_C,PF_N01_C,1,2.0,2.0,41.88807658321058,0.056008457915766,1.4930403534609695,6.733333333333333,0.0560084579157661,0.2400000000000002,,,,2024-02-01 06:08:00
