start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_N03_C,PF_N02_C,9,10.0,11.0,20.50683354813124,0.0522937307075377,1.4249999999999972,2.056060606060606,0.0486735306373916,0.1333333333333333,29.06481481481481,1.1906016469649128,76.80666666666666,2024-02-01 00:00:00
PF_N03_C,PF_N02_C,9,10.0,11.0,20.50683354813124,0.0522937307075377,1.4249999999999972,2.056060606060606,0.0486735306373916,0.1333333333333333,29.04259259259259,1.1907301503287522,76.76666666666667,2024-02-01 00:01:00
PF_N03_C,PF_N02_C,9,10.0,11.0,20.50683354813124,0.0522937307075377,1.4249999999999972,2.056060606060606,0.0486735306373916,0.1333333333333333,29.00925925925925,1.191368636000596,76.70666666666666,2024-02-01 00:02:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:23:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:24:00
PF_N03_C,PF_N02_C,4,5.0,2.0,25.464578313253,0.2746045752180767,4.450120481927705,1.7166666666666666,0.2746045752180767,0.3,,,,2024-02-01 06:25:00
PF_N03_C,PF_N02_C,4,5.0,2.0,25.464578313253,0.2746045752180767,4.450120481927705,1.7166666666666666,0.2746045752180767,0.3,,,,2024-02-01 06:27:00
PF_N03_C,PF_N02_C,4,5.0,2.0,25.464578313253,0.2746045752180767,4.450120481927705,1.7166666666666666,0.2746045752180767,0.3,,,,2024-02-01 06:26:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:28:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:29:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:30:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:31:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:32:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:33:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:35:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:34:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:36:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:37:00
PF_N03_C,PF_N02_C,9,10.0,11.0,20.50683354813124,0.0522937307075377,1.4249999999999972,2.056060606060606,0.0486735306373916,0.1333333333333333,26.024074074074075,1.0159150971533146,60.08333333333333,2024-02-01 00:04:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 05:53:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 05:54:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 05:55:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 05:56:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 05:57:00
PF_N03_C,PF_N02_C,4,5.0,1.0,40.06285714285711,,0.0,1.05,,0.0,,,,2024-02-01 06:19:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:21:00
PF_N03_C,PF_N02_C,4,5.0,1.0,30.409156626506,,0.0,1.3833333333333333,,0.0,,,,2024-02-01 06:22:00
PF_N03_C,PF_N02_C,9,10.0,11.0,20.50683354813124,0.0522937307075377,1.4249999999999972,2.056060606060606,0.0486735306373916,0.1333333333333333,26.090740740740745,1.0115254555679978,58.48666666666665,2024-02-01 00:03:00
PF_N03_C,PF_N02_C,4,5.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:18:00
PF_N03_C,PF_N02_C,4,5.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:17:00
PF_N03_C,PF_N02_C,4,5.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:10:00
PF_N03_C,PF_N02_C,4,5.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:09:00
PF_N03_C,PF_N02_C,4,5.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:11:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:05:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:02:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 05:58:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 05:59:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:01:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:00:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:04:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:03:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:06:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:07:00
PF_N03_C,PF_N02_C,9,10.0,1.0,20.519999999999985,,0.0,2.05,,0.0,,,,2024-02-01 06:08:00
PF_N03_C,PF_N02_C,9,10.0,2.0,20.519999999999985,0.0,0.0,2.05,0.0,0.0,,,,2024-02-01 06:12:00
PF_N03_C,PF_N02_C,9,10.0,2.0,20.519999999999985,0.0,0.0,2.05,0.0,0.0,,,,2024-02-01 06:14:00
PF_N03_C,PF_N02_C,9,10.0,2.0,20.519999999999985,0.0,0.0,2.05,0.0,0.0,,,,2024-02-01 06:13:00
PF_N03_C,PF_N02_C,9,10.0,2.0,20.519999999999985,0.0,0.0,2.05,0.0,0.0,,,,2024-02-01 06:16:00
