start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_N02_C,PF_N03_C,25,26.0,11.0,20.384839980407083,0.0282295159179343,0.0,2.0651515151515154,0.0294221342680332,0.1500000000000003,16.506666666666668,0.5165994627305611,17.091666666666654,2024-02-01 00:00:00
PF_N02_C,PF_N03_C,25,26.0,11.0,20.384839980407083,0.0282295159179343,0.0,2.0651515151515154,0.0294221342680332,0.1500000000000003,14.23333333333333,0.5796438227902524,15.20499999999998,2024-02-01 00:01:00
PF_N02_C,PF_N03_C,25,26.0,11.0,20.384839980407083,0.0282295159179343,0.0,2.0651515151515154,0.0294221342680332,0.1500000000000003,14.23333333333333,0.5693251300129438,15.129166666666642,2024-02-01 00:02:00
PF_N02_C,PF_N03_C,3,4.0,4.0,21.56708089280145,0.1235479961844054,4.169494783904618,1.9708333333333328,0.1116311102109436,0.0933333333333332,,,,2024-02-01 05:43:00
PF_N02_C,PF_N03_C,3,4.0,4.0,24.61120572319494,0.3543338241943716,14.519519207242476,1.8375,0.2630255163972512,0.0933333333333332,,,,2024-02-01 05:44:00
PF_N02_C,PF_N03_C,3,4.0,4.0,25.33489534883722,0.2556249542982682,8.153100000000002,1.7416666666666665,0.244908782623344,0.3599999999999999,,,,2024-02-01 05:45:00
PF_N02_C,PF_N03_C,3,4.0,3.0,19.84855467999232,0.0454955354453945,1.1642329425331577,2.1222222222222222,0.0446563406000837,0.0450000000000003,,,,2024-02-01 05:46:00
PF_N02_C,PF_N03_C,3,4.0,3.0,18.58009142334724,0.0721411804339065,0.400205073995771,2.272222222222222,0.0749220217410492,0.2399999999999997,,,,2024-02-01 05:49:00
PF_N02_C,PF_N03_C,3,4.0,3.0,18.58009142334724,0.0721411804339065,0.400205073995771,2.272222222222222,0.0749220217410492,0.2399999999999997,,,,2024-02-01 05:48:00
PF_N02_C,PF_N03_C,3,4.0,3.0,18.58009142334724,0.0721411804339065,0.400205073995771,2.272222222222222,0.0749220217410492,0.2399999999999997,,,,2024-02-01 05:51:00
PF_N02_C,PF_N03_C,3,4.0,3.0,18.58009142334724,0.0721411804339065,0.400205073995771,2.272222222222222,0.0749220217410492,0.2399999999999997,,,,2024-02-01 05:50:00
